"games_id","team","field","opp","result","Q1","Q2","Q3","Q4","Q5","team_total","total","FG","SAF","TD"
"2018110406","WAS","H","@ATL","L",0,7,7,0,0,14,52,0,0,2
"2018110406","ATL","A","WAS","W",7,14,7,10,0,38,52,1,0,5
"2018110407","DEN","H","@HOU","L",3,7,7,0,0,17,36,1,0,2
"2018110407","HOU","A","DEN","W",7,9,0,3,0,19,36,2,0,2
"2018110408","SEA","H","@LAC","L",7,3,0,7,0,17,42,1,0,2
"2018110408","LAC","A","SEA","W",6,13,0,6,0,25,42,0,0,4
"2018110409","NO","H","@LA","W",14,21,0,10,0,45,80,1,0,6
"2018110409","LA","A","NO","L",7,10,10,8,0,35,80,2,0,4
"2018110410","NE","H","@GB","W",7,10,0,14,0,31,48,1,0,4
"2018110410","GB","A","NE","L",3,7,7,0,0,17,48,1,0,2
